2026-09-09T06:10:13Z db_cpu=0.20% db_mem=69.29MiB / 1GiB db_net=41.2MB / 354MB db_block=25.9MB / 35.7MB

2026-09-09T06:10:20Z db_cpu=0.38% db_mem=69.29MiB / 1GiB db_net=41.2MB / 354MB db_block=25.9MB / 35.7MB

2026-09-09T06:10:26Z db_cpu=0.33% db_mem=69.29MiB / 1GiB db_net=41.2MB / 355MB db_block=25.9MB / 35.7MB

2026-09-09T06:10:33Z db_cpu=0.20% db_mem=69.3MiB / 1GiB db_net=41.2MB / 355MB db_block=25.9MB / 35.7MB

2026-09-09T06:10:40Z db_cpu=0.35% db_mem=69.32MiB / 1GiB db_net=41.2MB / 355MB db_block=25.9MB / 35.7MB

2026-09-09T06:10:46Z db_cpu=0.25% db_mem=69.32MiB / 1GiB db_net=41.2MB / 355MB db_block=25.9MB / 35.7MB

2026-09-09T06:10:53Z db_cpu=5.39% db_mem=69.32MiB / 1GiB db_net=41.2MB / 355MB db_block=25.9MB / 35.7MB

2026-09-09T06:10:59Z db_cpu=0.35% db_mem=69.46MiB / 1GiB db_net=41.3MB / 355MB db_block=25.9MB / 35.9MB

2026-09-09T06:11:06Z db_cpu=0.28% db_mem=69.46MiB / 1GiB db_net=41.3MB / 355MB db_block=25.9MB / 35.9MB

2026-09-09T06:11:12Z db_cpu=0.33% db_mem=69.46MiB / 1GiB db_net=41.3MB / 356MB db_block=25.9MB / 35.9MB

2026-09-09T06:11:19Z db_cpu=5.61% db_mem=69.46MiB / 1GiB db_net=41.3MB / 356MB db_block=25.9MB / 35.9MB

2026-09-09T06:11:25Z db_cpu=0.18% db_mem=69.46MiB / 1GiB db_net=41.3MB / 356MB db_block=25.9MB / 35.9MB

2026-09-09T06:11:32Z db_cpu=0.23% db_mem=69.46MiB / 1GiB db_net=41.3MB / 356MB db_block=25.9MB / 35.9MB

2026-09-09T06:11:38Z db_cpu=5.40% db_mem=69.49MiB / 1GiB db_net=41.3MB / 356MB db_block=25.9MB / 35.9MB

2026-09-09T06:11:45Z db_cpu=0.24% db_mem=69.46MiB / 1GiB db_net=41.4MB / 356MB db_block=25.9MB / 35.9MB

2026-09-09T06:11:51Z db_cpu=0.15% db_mem=69.46MiB / 1GiB db_net=41.4MB / 356MB db_block=25.9MB / 35.9MB

2026-09-09T06:11:58Z db_cpu=0.23% db_mem=69.46MiB / 1GiB db_net=41.4MB / 357MB db_block=25.9MB / 35.9MB

2026-09-09T06:12:04Z db_cpu=5.78% db_mem=69.46MiB / 1GiB db_net=41.4MB / 357MB db_block=25.9MB / 35.9MB

2026-09-09T06:12:11Z db_cpu=0.21% db_mem=69.46MiB / 1GiB db_net=41.4MB / 357MB db_block=25.9MB / 35.9MB

2026-09-09T06:12:18Z db_cpu=0.46% db_mem=69.46MiB / 1GiB db_net=41.4MB / 357MB db_block=25.9MB / 35.9MB

2026-09-09T06:12:24Z db_cpu=0.45% db_mem=69.46MiB / 1GiB db_net=41.4MB / 357MB db_block=25.9MB / 35.9MB

2026-09-09T06:12:31Z db_cpu=0.26% db_mem=69.46MiB / 1GiB db_net=41.4MB / 357MB db_block=25.9MB / 35.9MB

2026-09-09T06:12:37Z db_cpu=0.25% db_mem=69.46MiB / 1GiB db_net=41.4MB / 357MB db_block=25.9MB / 35.9MB

2026-09-09T06:12:44Z db_cpu=0.15% db_mem=69.46MiB / 1GiB db_net=41.4MB / 358MB db_block=25.9MB / 35.9MB

